user,location,tweet,timeStamp
@skleiner1,Just Passing Through,Smell ya later 2018 #KunlunRedStar #ChristmasBreakpic.twitter.com/eALeuaMxRq,6:17 AM - 17 Dec 2018
@NeverlusenTV,"London, England","What a beautiful way to end the year!! 

Nice 9-1 win away to Bromley Road

BRING ON THE CHRISTMAS PARTY!!!

Man of the match brought to you by @DAGWE_UK: @LvWyla 

Goals: 4 @DarrylSiaw5 3 @LvWyla, @DannyKusimo, @JOkai10
#WeNeverLose #WereBoredOfDaz
#ChristmasBreakpic.twitter.com/JYF96IaNrj",5:30 AM - 16 Dec 2018
@Hes_Not_Here,112 1/2 W. Franklin Street,"It was a great year, and we are out of beer. See y’all in January #ChristmasBreak",8:15 PM - 15 Dec 2018
@LAmustangGBB,"Nashville, Tenn.",Merry Christmas from the Lady Mustangs and the Cheer Squad. The Lady Stangs go into break with a win against Clarksville Christian 49-38. #LadyStangs #ChristmasBreak #gfgblupic.twitter.com/cPfZqAtzzJ,1:03 PM - 15 Dec 2018
@thatsbellayt,Philippines,no baon for a month be like.. #christmasbreak zzZz pic.twitter.com/k7xGvbrAHd,3:11 AM - 15 Dec 2018
@W3st_Da_B3st,USA,#LC students please use this #ChristmasBreak  (two weeks) to find yourself and the adult you say you are. Because I’m convinced you’re are not as grown as you act or think you are.,6:40 PM - 13 Dec 2018
@Tusk_UA,,Leaving the last final like  @UArkansas #finals #ChristmasBreakpic.twitter.com/KSnEKxqrY9,2:10 PM - 13 Dec 2018
@UTCAlphaGam,"Chattanooga, TN",does anyone else feel this way? #done #christmasbreakpic.twitter.com/sOwhE0zOsu,2:58 PM - 11 Dec 2018
@timpovich,,He's back!  #ChristmasBreakpic.twitter.com/06cLtTe9kn,12:33 PM - 11 Dec 2018
@JeniferEDillard,,One more sleep & this  #Cyclone gets to come home for a few days.  #christmasbreak #lovemyson #CyclONEnation #countdownpic.twitter.com/fDI6NZkbtt,7:34 AM - 11 Dec 2018
@CLC_Longhorn96,"Texas, USA",Anyone else?? #Christmas #christmasbreakpic.twitter.com/vAqWAfK4rd,4:50 AM - 3 Dec 2018
@KageHyena_Grump,,"Happy #FursuitFriday ! Finals week and Christmas break are right around the corner for this yeen! Or wait is that just me?#fursuit #furry #furryfandom #furries #hyena #seadragon #FinalsWeek #ChristmasBreak #peekaboo #fursuits #fursuiter
: @ArendStudiospic.twitter.com/SuDLe5AjpT",1:34 PM - 30 Nov 2018
@Jasmin_Romero,"Manila, Philippines","@DepEd_PH announces ammendment to its #ChristmasBreak schedule.
From Dec. 22, the new sched now begins on DECEMBER 15,2018 to give families more quality time with each other.pic.twitter.com/LWGjIM7tFV",7:28 PM - 27 Nov 2018
@LesCanadiennes,"Montréal, Québec","We hope to see you at our last home games before the #ChristmasBreak! Great activity for the whole family! 
 Worcester Blades
 Dec. 1-2, 2018
 @Place_Bell, Laval
 http://showpass.com/o/les-canadiennes-de-montreal …pic.twitter.com/9hA8FXAO8N",11:47 AM - 27 Nov 2018
@TheGroveB,"Bournemouth, England, UK","7 days til our #Turkey & #Tinsel Breaks commence! As we’re getting ready to welcome our lovely guests for a season of festive celebrations at #TheGrove, we’d like to challenge you to share your all-times-favourite memory from your #Christmasbreak at our hotel!pic.twitter.com/daGiBZERwo",4:50 AM - 15 Nov 2018
@SCStormSoftball,"Indianola, Iowa",The CUBA Countdown for Simpson Softball is on! #FAM1LYTrip #christmasbreak ☈☇pic.twitter.com/J8in9eSMXa,2:12 PM - 7 Oct 2018
@Aurora_Zone,,"Looking for a Christmas with a difference? 

How about hunting for the Northern Lights in the spectacular winter landscape of Swedish Lapland?  >> http://ow.ly/PHbq30lUNfn  
© Graeme Richardson 
#NorthernLights #ChristmasBreak #WinterHoliday #Wanderlust #Christmas #sweden #lapandpic.twitter.com/LzortpOX8e",1:00 PM - 22 Sep 2018
@thekellyford,"New York, USA",A rare photo of my #trophyhusband taken over the #christmasbreak!#latergram #Denver #citypark… https://www.instagram.com/p/BdtjxKGnrIo/ ,6:28 PM - 8 Jan 2018
@mondaynightsess,,It's #MondayNight and #mondaynightsessions is back at 9pm on @highlandradio with a packed #liveshow #music #live with @paulmcdevitts @JimmystaffordDJ #christmasbreak #2018 #letsgopic.twitter.com/j7JfiTbl3E,11:21 AM - 8 Jan 2018
@NateAbelFlyClub,Hicks Airfield T67 Fort Worth,"Club President @UND_TylerBarry giving Teddy a “Crew” keychain after a tour of our new plane. You never know, years from now this could be Teddy’s where it started story!! #teenpilots #youcanfly #christmasbreak @AOPA @EAA @AlliedPilots @UNDAerospace @Cessna @cmgaeropic.twitter.com/yhYqsoOJar",7:45 PM - 7 Jan 2018
@nicwordsworth,UK,Rewarded after the storm yesterday with this sunset  #seaside #whitstable #sunset #kentcoast #christmasbreak #brandguardian #branding #foodjudge #consultantpic.twitter.com/pFbRZJWcYh,5:21 AM - 2 Jan 2018
@migoodridge,"Cambridge, Ontario",I've ignored twitter while on my #Christmasbreak but I wanted to announce that I'm officially renewed at Laurier for another year!,8:10 PM - 1 Jan 2018
@jrhayes63,,I love not knowing what day it is half the time. #ChristmasBreak,5:30 PM - 29 Dec 2017
@nicolerusso,"Boston,MA","So far, my mom has: offered my 13 yr old wine, gave 13 yr old her vintage fur coat, and fed her cereal and cake for dinner. #ChristmasBreak",5:03 PM - 28 Dec 2017
@DearElementary,,"If someone dared me, I bet I could survive being on Christmas Break the rest of the school year.  #Teacher #christmasbreak #education #teach #elementary",9:20 PM - 27 Dec 2017
@immasamurai,"MI, USA","I really love streaming and sharing the gaming experience with the Dojo community. 

..but it's also really great to plop on the couch in pajamas and game solo. Something I haven't done since last year - not kidding.  

FeelsGoodMan
#ChristmasBreakpic.twitter.com/yeUVIcb2ov",8:28 PM - 27 Dec 2017
@julienhicks_,"Vancouver, Canada",Sis and me at dinner tonight. Super awesome Mexican vegetarian restaurant! Hilarious pantomime this afternoon. Laughed loads! #ChristmasBreakpic.twitter.com/xW0omRL4Fa,7:43 PM - 27 Dec 2017
@VealMadeEasy,,Great #ChristmasBreak recipe ideas to keep the kids busy & happy! https://www.youtube.com/watch?v=5fzRfdass8s … #CookingVideo,1:00 PM - 27 Dec 2017
@RandaD21,,Geared up for our first  practice after our #ChristmasBreak @USIAthletics #USIwbb #EnergyProducers #SantasHelpers #AssisantsTakingItUpANotchpic.twitter.com/d9FHTPPp2w,9:56 AM - 27 Dec 2017
@ChimneyCakeLife,"Leeds, England",We're Back By Popular Demand after a fantastic #ChristmasBreak & taking orders now @ http://Coffeandchimneycakes.com  @JustEatUK  enjoy our Sweet or Savoury Delights Today!pic.twitter.com/Et4GUbNl6w,3:05 AM - 27 Dec 2017
@barrettmarlyne,"Los Angeles, CA",I've been waiting to post this! And while on break I found this GEM. Watch the HAIR! @TheNickGehlfuss #ChristmasBreak #finds #ChicagoMedpic.twitter.com/6mp2UKbP2h,12:17 PM - 26 Dec 2017
@NSF,"Alexandria, VA",Are you a 6-12th grade student? Use your imagination & scientific creativity to create a brand-new #science-inspired superhero. (Not a high-schooler? Pass this message to one!) Visit: http://nsf.gov/GenNano  #GenNano #christmasbreakpic.twitter.com/pjjcI68EtA,8:15 PM - 25 Dec 2017
@joshd206,FedWay / Seattle,"Some may call it fear, others call it respect, but at 22 I still don’t touch my dad’s thermostat when I come home. 

#ChristmasBreak",2:29 PM - 25 Dec 2017
@giohio,"Cincinnati, OH","The Bicorn curve and three constructions https://ggbm.at/EsXgQ9DH 
@geogebra #mtbos #iteachmath @ohioctm @swoctm1 #christmasbreak #tipofthebicornpic.twitter.com/T69sh4vUS0",3:29 PM - 24 Dec 2017
@AngieQuidim,United States,#MoreOfWhatMatters this #weekend take  #Moments and savor #InnerPeace its the end of a year of highs and lows and #CHANGE You deserve it #Christmasbreak #SeasonOfGivingpic.twitter.com/oa1xDjt1FL,8:51 PM - 23 Dec 2017
@kevinbrennan666,,You teachers must be exhausted from working a whole month since Thanksgiving break. #ChristmasBreak,11:17 AM - 23 Dec 2017
@Alex_d_villalba,"Austin, TX",Nothing like some last minute #Christmas #shopping to get you in the #HolidaySpirit!https://seemefeedmereadme.com/2017/12/03/gift-shops-in-austin-for-the-perfect-present/ … #holidays #holidaygiftguide #holidaytravel #giftideas #StockingStuffers #Christmasbreak #FelizNavidad #MerryChritsmas #xmas #HappyHolidays #travel #lifestylepic.twitter.com/FFBc8x5xrq,10:59 AM - 23 Dec 2017
@JamieGreubel,"Lake Placid, NY","Christmas time is here. 
    
#bobsled #roadtopyeongchang #winterOlympics #butfirst #christmasbreak @usbsf @teamusapic.twitter.com/ZIcwBnZMbX",10:30 AM - 23 Dec 2017
@TheChiefpigskin,,"Plans for today:

1. Eat Cookies
2. Watch Football
3. Eat cookies while watching football
4. Fall asleep watching football

#Christmasbreak",10:22 AM - 23 Dec 2017
@saraevansmusic,"Nashville, TN",Dinner with best friends! #christmasbreak #happyholidays @lisa_flake 7jaybarker ollieirene https://www.instagram.com/p/BdBzv-LFuim/ ,6:38 PM - 22 Dec 2017
@Jc_Correa1,"Beaumont, TX",Enjoying life #christmasbreak #houstonzoopic.twitter.com/bFQ4wI10aK,5:31 PM - 22 Dec 2017
@DeannaDeegan,Nebraska,"My #CECougars family...you amaze me daily with the endless patience, understanding and kindness you show our students...this #christmasbreak shower yourself with #Kindness.. enjoy #familytime #metime  fill your buckets!! #bpsnehttps://twitter.com/kindnessgives/status/944311863269117952 …",3:22 PM - 22 Dec 2017
@MrKrisJames,"London, England Liverpool",Hope you are all having a good day. I’m about to fly to London. What a trip I’ve had!! Can’t wait to tell you all about it when I get back. I ended up at a basketball game last night with three dudes I didn’t know. Was a funny evening.  you #Christmasbreakpic.twitter.com/6T4lsG6Q5t,11:44 AM - 22 Dec 2017
@NLESDCA,Newfoundland and Labrador,"Wishing everyone a wonderful and safe holiday break!
See you all in 2018! 
#nlschools #nledu #Christmasbreak #hollyjollyChristmas #havefun #besafepic.twitter.com/LUXlOfpiAH",10:16 AM - 22 Dec 2017
@MattKHOU,"Houston, TX",Miss Sharon gets crews ready for the #KHOU11 holiday-weekend coverage before morning news meeting. #Christmas2017 #christmasbreak #ChristmasEve #HTX #Houston #Texas #HolidayEveryday #FridayFeelingpic.twitter.com/fZ2j13xrDP,8:56 AM - 22 Dec 2017
@nickbailey365,London,Well..... Christmas Bauble Crafting Day seemed to work.... 5 under 12 year olds entertained for 5 hours....and no deaths! #Christmas #ChristmasDecorations #Xmas #Christmasbreakpic.twitter.com/IiJSuSmDez,8:37 AM - 22 Dec 2017
@amybruni,"Portsmouth, RI","Good morning. In case you were wondering, we're going nowhere fast today. #christmasbreak… https://www.instagram.com/p/BdAeTE1AfrO/ ",6:11 AM - 22 Dec 2017
@outfielddigital,"Barnsley, England","Merry Christmas everyone! Big thanks to all our lovely clients, partners and the Umbraco community, we've had the pleasure of working on some great projects with you all!  #H5YR #umbraco #devlife #christmasbreakpic.twitter.com/Nuxjs2t1Pk",6:11 AM - 22 Dec 2017
@bunsenbernerbmd,"Red Deer, Alberta","Both my mom and my dad start Christmas holidays tomorrow and I’m assuming it will just be constant walks in the snow during sunsets.  Amiright?   Amiright? 
#walks #allthewalks #snow #christmasbreak #bernesemountaindogpic.twitter.com/jHwUjf96AI",5:50 AM - 22 Dec 2017
@BYRNESCHIPPY,"Liverpool, England",Today is our last day open of 2017 #ChristmasBreak #FishandChips #ByrnesChippy pic.twitter.com/L7TAuM2ini,12:42 AM - 22 Dec 2017
@ENERGYSTAR_CAN,Canada,Going away for #ChristmasBreak? Here’s a simple tip to save even more on your energy bill: #WinterTips http://ow.ly/HlZJ30h1FVq pic.twitter.com/FLIr41kxrP,11:00 AM - 21 Dec 2017
@GuyerBasketball,," I know where our Guyer Wildcat Fans should be past and present tonight at 6:00pm Allen High School 
#KeepGrinding #WantItAll #christmasbreak
@GuyerBasketball @bluecrewnationpic.twitter.com/DZ1siM1Mmx",10:56 AM - 21 Dec 2017
@OntarioUnis,Ontario,"We know you're excited for the #ChristmasBreak, we are too! But don't forget to take your @OUAC_ED Application Access Code letters home. #ApplyBeforeTheDeadline #Jan17",7:26 AM - 21 Dec 2017
@bootsbowsbeach,"Myrtle Beach, SC",Do you ever get in bed to go to sleep and instead fall into a @GreysABC hole on @netflix and get to the plane crash episode and cry the rest of the night...because me too  #GreysAnatomy #Christmasbreak,8:18 PM - 20 Dec 2017
@MizeRoger,,Every day this week have been able to eat lunch with a different group of great company #Christmasbreak,4:57 PM - 20 Dec 2017
@torquay3jay,Cardiff,Girls are now away on their #ChristmasBreak but the @YeovilLadiesFC #IndividualTrainingProgrammes continue & it’s great to have @MYZONEmoves as one of our #Suppliers #Supporters so that remote training can be #Monitored #Evaluated ensuring 2018 can start with a bang #ABUpic.twitter.com/jCBCvINgCf,9:19 AM - 20 Dec 2017
@TrevDon,in you head,"Spent the day skiing, snowboarding and (my least favorite activity) shopping with my 16 year old niece Jordyn.  She lasted the whole day with her dorky Uncle and didn't check her instagram once.   Yes, I am the cool uncle.  #mammothmountain #ChristmasBreakpic.twitter.com/8thpWFv8yV",4:38 PM - 19 Dec 2017
@eileen_davidson,,I’m in bed in my pajamas @MsSarahPaulson  #Christmasbreakhttps://twitter.com/bricesander/status/943164508876312577 …,12:32 PM - 19 Dec 2017
@malikzw_,"Ostrava, Česká republika","First half of the season is done, can’t wait for another half ! #christmasbreak ",9:53 AM - 19 Dec 2017
@ReimerKrista,,Pretty accurate description of an elementary Vs. secondary teacher right here.  #christmasbreak @InBlainSightpic.twitter.com/Fy4mT0wbDQ,5:49 AM - 19 Dec 2017
@MLeBourdon,"London, England",Chapter done  Annual progression passed  ... it’s Christmas!!!  #PhDLife #ChristmasBreak,4:31 AM - 19 Dec 2017
@Stephenastanek,,"Jingle bells, taking L's, hit me with a sleigh. I'm so done, this isn't fun, there goes my gpa. :) #christmasbreak #School #GPA #funniest #lol",4:36 PM - 18 Dec 2017
@macyfinck,"Auburn, AL",I’m not NOT pregaming a 2:30 showing of Star Wars #ChristmasBreak,10:21 AM - 18 Dec 2017
@JoPotter8,,Starting the day knowing your in to the semi final of the @ContiUK cup  especially after a tough away tie to @EvertonLadies who are getting better&better this season  now time to enjoy the #ChristmasBreak pic.twitter.com/NAjTOe4cmV,3:18 AM - 17 Dec 2017
@AndersonU,"Anderson, Indiana",Campus is quiet now that finals are over and students are away for Christmas break. Congratulations on finishing the semester! Can't wait to see everyone together again Jan. 7! #ravenlife #christmasbreakpic.twitter.com/3aj80Oyr9S,4:25 PM - 16 Dec 2017
@saltyloulowe,"Leeds, England",Finishing a great year of filming with an awesome little scene with @JoepopProds & @sammeegiles cracking us all up was just the BEST way to bid @Emmerdale farewell for 2017! See you on the other side team! #timeforsherry #christmasbreak #youhaveamonkeyonyourback,1:00 AM - 16 Dec 2017
@NAPPYTABS,"North Hollywood, CA",Last Day of school for 3 weeks. #ChristmasBreak #Pumpedpic.twitter.com/lxjFN6nw38,5:42 PM - 15 Dec 2017
@elliottkae,,Only a few short hours until both of my “babies” are home!  #ChristmasBreak.pic.twitter.com/yP7Kfqw3SK,12:45 PM - 15 Dec 2017
@WEGuidance,Warren East High School,This is us leaving the parking lot this afternoon! #ChristmasBreak #BEsafe #MerryChristmaspic.twitter.com/eOGxkKLXhZ,12:34 PM - 15 Dec 2017
@alexmomma2007,"Houston, TX",@HumbleISD_TMS teachers waving and wishing our students a safe and wonderful #holidayseason! #christmasbreak @HumbleISDpic.twitter.com/8YtZCJqFsm,10:48 AM - 15 Dec 2017
@SIUECR,"Edwardsville, IL",That feeling when finals are over and you’re home for the holidays #ChristmasBreak #Finallypic.twitter.com/PiQvtuk3zJ,6:17 AM - 15 Dec 2017
@_MalikHenry,New York,I spent the majority of the day laying around in my Christmas sweater drinking egg nog. And...I plan on partaking in the same activity tomorrow. #Christmasbreak. ,1:59 PM - 12 Dec 2017
@keepinglifesane,NC,You're going to need something to do when those kids get out of of school in a few days!  Pick up this gingerbread house so they'll have something to do when they get bored! #ad http://amzn.to/2iTO6HT  #Christmas #ChristmasBreak #BoredKids #ChristmasActivity #gingerbreadhousepic.twitter.com/POqlUbONbH,5:48 AM - 12 Dec 2017
@gorgeouscottage,Yorkshire,"Late Availability for Christmas - our lovely Millbrook Cottage is within the charming Robin Hoods Bay and sleeps 4. Now available for 22nd -27th December at a rate of £495. 
Call 01642 263249 to book http://ow.ly/Wdzr30haOsh 
#RobinHoodsBay #ChristmasBreak #YorkshireCottagespic.twitter.com/4M575Tsktl",5:32 AM - 12 Dec 2017
@trixiemattel,"West Hollywood, CA",See you in January! #ChristmasBreakhttps://twitter.com/worldofwonder/status/940369663065653248 …,8:17 PM - 11 Dec 2017
@JacksMBB,"BOTTINEAU, ND",Good first half of season! Ready for Mon-Dak play!! #hangsonrims #streaking #dcbjacks #christmasbreakpic.twitter.com/LkJLgZ7gGJ,7:18 AM - 11 Dec 2017
@The25Torquay,"25 Avenue Rd, Torquay, TQ2 5LB","This is The 25 right now, basking in the warm winter sun.  Why not get away from the snow & come down to the @EnglishRiviera next weekend?  It’s our last weekend open until February.  #lastminute #christmasbreak #ChristmasShopping #torquay #devon #snow #sunny #nosnowhere #the25pic.twitter.com/CWHlxsWT96",5:37 AM - 10 Dec 2017
@eheybs0213,,"*smiles and says hello to stranger* 
*stranger glares, then proceeds to keep walking*
Well, Toto. We aren’t at Trinity anymore.  #christmasbreak",10:46 AM - 9 Dec 2017
@PERFORMERS_COLL,"Corringham, Essex. UK",TERM 1 is COMPLETE  Safe journey to all of our students travelling home all over the world  Have a great break - Enjoy every second  #performers #performersfam #performerscollege #christmasbreakpic.twitter.com/lyhAs0UMAU,12:49 AM - 9 Dec 2017
@RBCFoundations,"Birmingham, England",It’s the last day of term for us and what a way to end it - last night saw our students make their debut public performance and it certainly didn’t disappoint. Plenty more exciting things set for term 2. #acting #keepingbusy #dramaschool #birmingham #christmasbreakpic.twitter.com/VPqYYC57Dm,12:38 AM - 8 Dec 2017
@KjRustia,,Cant wait for next week!! #ComMed #Christmasbreak ,11:59 PM - 7 Dec 2017
@jamieprewitt197,"Kentucky, USA","Only a few more days until @oliviaprewitt15 is home with us for a month
#ChristmasBreak ",3:48 AM - 7 Dec 2017
@schwalms,MN,"Final lit papers finished and submitted and I can: 
watch TV shows
have fun with friends
put puzzles together
sew things
clean house 
catch up on life
for a *WHOLE* *MONTH* before my next class begins!
#gradschool #Christmasbreakpic.twitter.com/wN0iTm4RGJ",12:33 AM - 7 Dec 2017
@HollinskyDoug,"Windsor, On, Ca",That’s first half for @RyersonRamsMHKY 11 Wins in 16 games w/ 11 first year players. Excited to see where this team goes after much needed break for Boys. #ChristmasBreak #stay-tune @Dusters9 @Br00ks21 @koricheverie @CaptCan303 @ShantzBrian,8:24 PM - 2 Dec 2017
@LesCanadiennes,"Montréal, Québec","We hope to see you at our last game before the #ChristmasBreak! Great activity for the whole family! 
 https://store.thecwhl.com/collections/les-canadiennes-montreal-tickets/products/december-17-2017-1-30pm-les-canadiennes-de-montreal-vs-markham-thunder …pic.twitter.com/qAB9b758hw",7:18 AM - 1 Dec 2017
@TchrConfessions,,A little over 2 weeks left and it can’t come quick enough. I miss having a month off in college. #teacherlife #christmasbreak @HSTeachProbs,2:10 AM - 30 Nov 2017
@lborohockey,Loughborough University,"After today's victory the 1s go into their Christmas break sitting second in the ladder, having only lost one game and conceded the least number of goals in the @EnglandHockey Men's National League #defence #Christmasbreak @LboroAU @LboroSportpic.twitter.com/OpCDTR5wbK",12:53 PM - 26 Nov 2017
@MattPGAPro,"Kilkenny, Ireland",Time to Practice ahead of our 10 Days of Christmas Open Days at Mount Juliet Estate varying formats from a Ladies Open to a 4 Ball Scramble! Everybody welcome pick your event online and enter! #Christmas #Golf #OpenDays #MountJulietGolf #ChristmasBreakpic.twitter.com/d0LvDDRRV1,9:59 AM - 26 Nov 2017
@lizetthe_moreno,"Houston, TX","20 School days left of 1st semester 
#Christmasbreak",8:48 AM - 26 Nov 2017
@TheHolidayCots,"Wells, Somerset",Head over to the #Padstow #harbour this #Christmas & see it lit up with a #beautiful display of #Christmaslights. https://www.theholidaycottages.co.uk/Cornwall/8778  #Cornwall #SelfCatering #Festive #ChristmasBreak #WinterBreak #UKpic.twitter.com/OFqknvVt41,7:29 AM - 21 Nov 2017
@ellinghamhall,Northumberland,Our gorgeous cottages are available from just £29 per person per night during Christmas week! #christmasbreak #escapefromitallpic.twitter.com/jxC8lGSdHI,5:07 AM - 26 Oct 2017
@CrathorneHall,"Yarm, North Yorkshire,Teesside","Spot the Christmas lights, check in to your room, unpack, explore and let the fun begin...
#ChristmasBreak #Festive http://bit.ly/2wTDRwK pic.twitter.com/RfVteHVDMp",2:00 AM - 3 Oct 2017
@Christian_Zamo,Los Angeles,"Big Brother is so fucked up for that ""#ChristmasBreak"" after Christmas broke her foot lmaopic.twitter.com/QO1ZVrNx04",9:28 PM - 6 Jul 2017
@Criss_Crossfit,,"Anyone else not surprised the 1st person to get injured on Big Brother was a Crossfitter!?! 
#christmasbreak
#BigBrother19
#CrossFithttps://twitter.com/cfb324/status/883135105673383936 …",8:14 PM - 6 Jul 2017
@abbi_mcfalls,"Crawfordville, FL",When I see #BB19 put up #ChristmasBreak on the screenpic.twitter.com/sK6OhEUoJF,6:31 PM - 6 Jul 2017
@BBHOH,"Studio City, CA   ✔",What does everyone think of the #christmasbreak hashtag? Live Feeds: http://bit.ly/1sQ3shs  #bb19,6:26 PM - 6 Jul 2017
@BBElenasLips,Avi Creds: @LIVEFEEDS,Jason is totally responsible for the #ChristmasBreak and still wants her out  #BB19pic.twitter.com/wclBd8ZWVA,6:26 PM - 6 Jul 2017
@chazapher,,#ChristmasBreak ohhhh the shade. #bb19 got jokes.pic.twitter.com/nt0O7M0c7Z,6:25 PM - 6 Jul 2017
@CBSBigBrother,,“I’m the gift that keeps on giving.”  #BBChristmas #BB19 #ChristmasBreakpic.twitter.com/GajouApz4k,6:25 PM - 6 Jul 2017
@HeavyMetalTeddy,"Nutley, NJ",Ok @CBSBigBrother that was a good one! #ChristmasBreakpic.twitter.com/aioYsFSDj4,6:24 PM - 6 Jul 2017
@ctfuconnor,"Florida, USA",they did not just put #christmasbreak on the screen #bb19pic.twitter.com/JMYsFSk96T,6:24 PM - 6 Jul 2017
@AmanAdwin,Candy Cane Lane,NOT #CHRISTMASBREAK NOOOOOOOOOOO IM LOGGING OFF!!!  #BB19,6:24 PM - 6 Jul 2017
@Lynetterice,Los Angeles,.@AllisonGrodner sez it was first bone break in history of Big Brother! #BB19 #christmasbreakpic.twitter.com/Rs2hAJ4lXR,6:24 PM - 6 Jul 2017
@bigbroupdates21,Lipton tea factory,#ChristmasBreak is the best hashtag BB has ever had #bb19 @CBSBigBrother,6:24 PM - 6 Jul 2017
@kjirosie,exopink,#ChristmasBreak cbs got jokes,6:23 PM - 6 Jul 2017
@EmmaFeyas,,Me the last 4 weeks: #Christmasbreakpic.twitter.com/tc3QCsaNYd,9:09 PM - 14 Jan 2017
@AliMorganMusic,"Nashville, TN",Just finished writing another song...  Don't want to go back to school just yet.  #christmasbreakpic.twitter.com/vYZehXLg6e,9:20 PM - 8 Jan 2017
@AllianceAirShow,"Fort Worth, TX",Over #ChristmasBreak @BlueAngels @blueangel7bh & @blueangel8_ds stopped by for a quick visit to get ready for this year's #AllianceAirShow!pic.twitter.com/47SfEvUcrX,2:21 PM - 3 Jan 2017
@IttsMorgan,sk / yyc,"Going into second semester dumber, fatter and sadder #christmasbreak",5:18 PM - 2 Jan 2017
@DrKMattson,"Yorkville, IL","""Mom, can we stay up just a little longer?""  Hard for a teacher librarian mom to say ""no"" to that! #readmorebooks #tlchat #ChristmasBreakpic.twitter.com/OoFOIJsbQS",6:32 PM - 30 Dec 2016
@Megan_N_Taylor,"Covington, IN",Go back to school from #ChristmasBreak in style! #catandjack #target #TargetStyle #vmtlpic.twitter.com/p1UCKYXzVg,9:34 AM - 30 Dec 2016
@ChanceCaeden,"Los Angeles, CA",Loving and #grateful for this #christmasbreak ,4:21 PM - 28 Dec 2016
@RegularWineGuy,"Dallas, TX","Sipping on this lovely 90 point WS #Rioja red, waiting for the ribs to cook. #winelover #ChristmasBreak @BigGreenEgg @vinomontecillopic.twitter.com/NJFMnhUdXj",3:15 PM - 28 Dec 2016
@lucy_duerdoth,Oxfordshire,A very misty morning's stock checking for @BBOWT at Chimney Meadows - all present & enjoying their #ChristmasBreak!pic.twitter.com/y5BRam8w2d,12:10 PM - 28 Dec 2016
@crisp_aholic,,Love these 'confusing' inbetween Christmas and New Year days  #ChristmasBreak pic.twitter.com/XSU1kh6Eus,6:09 AM - 28 Dec 2016
@chadcveach,LA,I'm watching toy story with our boys #christmasbreak,2:55 PM - 27 Dec 2016
@eat_ditchplains,29 Bedford St West Village,"Crispy fish tacos bc most of us don't even know what day it is! Join us for a long lunch, happy hour or dinner! #tacotuesday #christmasbreakpic.twitter.com/vmC7LqxtyY",10:10 AM - 27 Dec 2016
@PCTigersHoops,The Jungle  🐾,3 days until the Tigers are back in action… #ChristmasBreakpic.twitter.com/ikMazgPArY,6:41 AM - 27 Dec 2016
@clairedonahue,,I can never stop swimming. When I don't have a coach I am so lazy! #ChristmasBreak,5:08 AM - 27 Dec 2016
@Wes_IRL,Mars,I miss the live stream fam! One more week until the streams return! Hope you guys haven been getting into too much trouble #ChristmasBreak,6:33 PM - 26 Dec 2016
@nhyirancepolicy,"Lakeland, TN",Sounds about right. #ChristmasBreak https://twitter.com/candacetheangel/status/811357947368525824 …,1:16 PM - 26 Dec 2016
@dacosta_steph12,Canada,Gonna gain so much weight from chilling in bed all day #christmasbreak,11:32 AM - 26 Dec 2016
@tiscatime,"Mumbai, India",And this is how we spent #ChristmasDay #ChristmasAndCricket #dayoff #bondingwithcastandcrew #christmasbreak #naseeruddinshah #thehungryfilmpic.twitter.com/nvj6nVTImD,4:28 AM - 25 Dec 2016
@_rebeccajeffery,"Altrincham, South Mcr",Merry Christmas from the top of the world! #nofilter #christmas #christmasbreak #christmasholidays #amreading #christmaski #skipic.twitter.com/hp1GggKBzy,12:56 AM - 25 Dec 2016
@Maxblanchard05,"Reading, England",All done!!! Let's Christmas begin!! #spotless #ChristmasBreak #merrychristmas @Foodexcellencepic.twitter.com/uvjYyjfw6s,1:54 AM - 24 Dec 2016
@TVDWetpaint,New York,Who's binge-watching #TVD over #ChristmasBreak?  @cwtvdpic.twitter.com/GraPucpbj4,7:30 PM - 23 Dec 2016
@highschool_mre,,We did it!!!!!!! #christmasbreak #finally Time for a classic gif!pic.twitter.com/8BkDal9H2s,11:12 AM - 23 Dec 2016
@midlo_gsoccer,,No one's watching...how are you preparing #Christmasbreak,10:41 AM - 23 Dec 2016
@hance_seffes,,We are literally the last school in the county that in school right now #NevadaCubPride #Christmasbreak #lookoutthewimdows,7:43 AM - 23 Dec 2016
@AnnieStorvick,Senior at Nevada,Let the prisoners out early #christmasbreak #NevadaCubPride,6:04 AM - 23 Dec 2016
@RileyMailey,,lets us out #Christmasbreak #NevadaCubPride,6:00 AM - 23 Dec 2016
@clintonharp,,Gotta start em young. #christmasbreak #lovebuildrunpic.twitter.com/MKTLwhVC1e,6:53 PM - 22 Dec 2016
@MmeGoyer,"Mississauga, Ontario","1 more sleep to #ChristmasBreak @StGertrudeMBC! Don't forget your Christmas sweater, donation & Christmas cheer! #ChristmasIsComingpic.twitter.com/aNEJErl1yD",6:28 PM - 22 Dec 2016
@ItsTrinityJae,,"lol who thinks they passed their final? 
 #finals #example #christmasbreakpic.twitter.com/ot32z7gAkc",5:02 PM - 22 Dec 2016
@Mvecc8,"Saugus,Ma",Massage time for the kid. Recovery is key. Absolutely. #Christmasbreak #GoodU,1:56 PM - 22 Dec 2016
