user,location,geoLocation,tweet,timeStamp,replies,retweets,favorites,url
@parkercurry2,,,"Peace out first semester, you sucked and will not be missed #christmasbreak",8:43 AM - 12 Dec 2012,0,2,4,https://www.twitter.com/parkercurry2/status/278902817257828352
@BahaDeez,,,"Why do I always get grounded at the worst times.
#christmasbreak",8:38 AM - 23 Dec 2012,0,0,4,https://www.twitter.com/BahaDeez/status/282887956023369728
@zimmerlimuseum,"New Brunswick, NJ",,"Giving New Meaning to #ChristmasBreak (by #RogerDuvoisin 20th-c) https://www.instagram.com/zimmerliartmuseum/ …
belated #MewseumMonday #CatsHelping @CuratorialCatspic.twitter.com/lIQ9i0muO5",10:47 AM - 20 Dec 2016,0,5,7,https://www.twitter.com/zimmerlimuseum/status/811281837775523863
@mjanaedear,"Washington, USA",,Turned off all my alarms. :> #ChristmasBreak,10:31 PM - 20 Dec 2013,0,4,2,https://www.twitter.com/mjanaedear/status/414281844931428352
@HaileyAWills,"Houston, TX",,All I want is for UTSA to make the NOLA bowl game #ChristmasBreak #BourbonSt,6:53 PM - 31 Aug 2013,0,1,7,https://www.twitter.com/HaileyAWills/status/373986884512280576
@SarahMadalene,TX,,There is literally nothing I should be/could be doing right now. This is a beautiful thing. #Christmasbreak,10:10 AM - 12 Dec 2012,1,3,2,https://www.twitter.com/SarahMadalene/status/278924814889148416
@Chumbucket34,,,Party at dupe...hockey hoes and hockey pros...exclusive invite only..#christmasbreak #feelspecial,11:47 PM - 16 Nov 2013,0,0,25,https://www.twitter.com/Chumbucket34/status/401979996706594817
@HannahBernier,,,“@Carrie_Bradsh4w: Me right now.... https://twitter.com/girlposts/status/548318775561707520/photo/1pic.twitter.com/SyVBGnEAe0 ”  @katie_forte #ChristmasBreak,5:16 AM - 26 Dec 2014,1,1,3,https://www.twitter.com/HannahBernier/status/548467488053559297
@_CGordon23,,,Today will most likely be the most pointless day of high school.. #ChristmasBreak,7:27 AM - 21 Dec 2012,1,2,4,https://www.twitter.com/_CGordon23/status/282145154406699008
@Aaronsweather,"Bakersfield, CA",,Flew into Phoenix with a Bakersfield celebrity @LWashingtonKGET @AmericanAir #Christmasbreak #MerryChristmas #pic.twitter.com/x6VhFAPmkP,12:03 PM - 25 Dec 2015,3,4,20,https://www.twitter.com/Aaronsweather/status/680479046333927424
@mason_allen11,"Little Rock, AR",,#christmasbreak I see you,10:25 PM - 14 Dec 2012,0,3,2,https://www.twitter.com/mason_allen11/status/279834538245509120
@JuarezAmelia,"Texas, USA",,Let the count down begin #christmasbreak#nomoreschool,8:10 PM - 1 Dec 2014,0,2,7,https://www.twitter.com/JuarezAmelia/status/539632738471796736
@beccahuhtalaa,upper west side,"Allouez, WI",soooo...... who wants to go sledding ??!!!!!!??? #christmasbreak #winter #litmas #firstsnowfall #snowday #wisconsin,8:10 PM - 23 Mar 2016,0,1,14,https://www.twitter.com/beccahuhtalaa/status/712838853955026944
@Darbyfrisbieee,,,Correction! Can we fast forward to next Wednesday at 11:30?! #christmasbreak ,6:03 PM - 9 Dec 2012,0,5,2,https://www.twitter.com/Darbyfrisbieee/status/277956796377882624
@vsmishek,Lost In My Mind,,Leaving NY . Can't wait to see @goaliemom9 @Fluffy2054 & @mattsmishek!! #canadabound #ChristmasBreak ,7:33 AM - 15 Dec 2012,1,1,2,https://www.twitter.com/vsmishek/status/279972348235505664
@keenan_duran970,"Grand Junction, CO",,This is going to be the longest 3 weeks  of my life! #ChristmasBreak #CantComeSoonEnough,3:48 PM - 2 Dec 2013,0,3,4,https://www.twitter.com/keenan_duran970/status/407657585844551680
@Rick_Gaeta032,,,And here's to the start of an ahhsome #ChristmasBreak!!!!!! ,11:01 AM - 13 Dec 2012,0,2,3,https://www.twitter.com/Rick_Gaeta032/status/279300095722258432
@cahluzi,,,My 600th tweet goes out to everyone stressing for finals this week. Just 1 more week #christmasbreak,7:06 PM - 11 Dec 2012,0,2,9,https://www.twitter.com/cahluzi/status/278697389022388226
@BraxtonMcCoy3,Aledo,,"1 down, 4 to go! #ChristmasBreak",3:01 PM - 17 Dec 2012,0,0,6,https://www.twitter.com/BraxtonMcCoy3/status/280809934604619776
@Eastqb,"Johnson City, TN",,Week and a half left...lets get it over with! #ChristmasBreak,5:36 PM - 9 Dec 2012,0,5,3,https://www.twitter.com/Eastqb/status/277949840464412672
@Mark_Hood33,"Little Rock, AR",,Last final had me like @ucabears #ChristmasBreakpic.twitter.com/uE05Y77IQt,10:08 AM - 8 Dec 2016,1,2,22,https://www.twitter.com/Mark_Hood33/status/806923381631315969
@itsmilrtime_93,"Florida, USA",,I'm so ready for this week to be over already!! #comeonthursday #christmasbreak,8:51 PM - 10 Dec 2012,0,1,3,https://www.twitter.com/itsmilrtime_93/status/278361229607706624
@brennakay_,"Cedar Falls, IA",,I just want this week to be over with already #christmasbreak,6:01 PM - 16 Dec 2012,0,4,4,https://www.twitter.com/brennakay_/status/280492986876456961
@Nongo3,Colorado,,Back home after a good trip to New Mexico with the team going 2-0!! #ChristmasBreak,5:31 AM - 13 Dec 2012,2,2,4,https://www.twitter.com/Nongo3/status/279216897495560192
@Taylrd2Bperfect,"Amory, MS",,Last week of cutting weight for awhile! #ChristmasBreak,8:08 AM - 11 Dec 2012,0,1,2,https://www.twitter.com/Taylrd2Bperfect/status/278531767961546752
@AshleyGilion,Neosho | NEO  🥎 | MOSO |,,I wake up at noon and need a nap by two. #ChristmasBreak,1:47 PM - 16 Dec 2013,0,1,5,https://www.twitter.com/AshleyGilion/status/412700437494509568
@AngieQuidim,United States,,#MoreOfWhatMatters this #weekend take  #Moments and savor #InnerPeace its the end of a year of highs and lows and #CHANGE You deserve it #Christmasbreak #SeasonOfGivingpic.twitter.com/oa1xDjt1FL,8:51 PM - 23 Dec 2017,2,4,12,https://www.twitter.com/AngieQuidim/status/944792564183449600
@DanielHarris2,"Scottsdale, AZ",,Looking forward to the rest of the week! Dave Matthews concert then backpacking with @awpate3! #ChristmasBreak,9:23 PM - 10 Dec 2012,1,1,2,https://www.twitter.com/DanielHarris2/status/278369467648581632
@MeganLuVCS,"DeLand, FL",,Pictures with Santa and fun with the fam! #ChristmasBreak @MrLuVCS @lmlucero1 @rgilreath89pic.twitter.com/7oWGhX6gxe,9:54 AM - 22 Dec 2015,1,2,6,https://www.twitter.com/MeganLuVCS/status/679359298175148033
@grooms_sami,Everywhere,,"Waking up without an alarm >>>> 
#christmasbreak",6:34 AM - 19 Dec 2012,0,6,2,https://www.twitter.com/grooms_sami/status/281407130265866241
@ACE_4RM4N,The Great American Southwest,,Dinner #foodporn #Homecookingpic.twitter.com/Wuc0uMtR,7:49 PM - 16 Dec 2012,1,0,0,https://www.twitter.com/ACE_4RM4N/status/280520002833100800
@Twinprobzzz,,,Back to sharing a room with my twin! :) #christmasbreak #twinproblems,11:08 AM - 22 Dec 2012,0,3,4,https://www.twitter.com/Twinprobzzz/status/282563341090697216
@drewlarsen2,United States,,Who wanna party!! #christmasbreak,10:04 AM - 18 Dec 2014,0,0,13,https://www.twitter.com/drewlarsen2/status/545640655330889728
@icenhour_app1,"Hickory, NC",,Tomorrow night I will get some of the best sleep of my life #mybed #Christmasbreak #noworries #noalarm #cantwait,12:28 AM - 13 Dec 2012,0,2,1,https://www.twitter.com/icenhour_app1/status/279140614715629568
@TiffanyRainn,IG: tiffanyrainn,,"5 school days left. #christmasbreak
",10:27 AM - 13 Dec 2012,0,3,1,https://www.twitter.com/TiffanyRainn/status/279291355275091968
@theIWJ,"Park Rapids, MN - BSU - Nevis",,"Home, where the toilet paper is a little softer and the bed is a little longer. #ChristmasBreak",5:38 PM - 18 Dec 2013,0,1,17,https://www.twitter.com/theIWJ/status/413483502722490369
@rdono47,,,I've been so productive today! I've watched five Christmas movies. #blessed #christmasbreak,6:07 PM - 22 Dec 2013,0,1,4,https://www.twitter.com/rdono47/status/414940325929422848
@AdamSunnyvale,North Wales,,"Book your winter break here at Sunnyvale Caravan Park by calling 01745 343 584 or visit our website http://www.sunnyvaleuk.co.uk 
#christmasbreak #cozyholiday #caravan #luxury #lodge #northwales #beach #petfriendly https://www.instagram.com/p/B5NJUMiAun0/?igshid=oskhdwesvvs5 …",2:57 AM - 23 Nov 2019,0,0,0,https://www.twitter.com/AdamSunnyvale/status/1198193800897794048
@audrateague,"Jackson, Tennessee",,I'm so excited that I get to cook for 5 tonight instead of 3! #christmasbreak #theboysarecominghome,2:09 PM - 11 Dec 2014,3,0,13,https://www.twitter.com/audrateague/status/543165635778588672
@gretchlr,I N D I A N A,,Just had a hot cup of coffee. It was strongly flavored with FREEEEEDOM. #christmasbreak #PTL,6:33 AM - 13 Dec 2012,0,0,5,https://www.twitter.com/gretchlr/status/279232584439984129
@GPrestia,,,Cant wait for this week of school to be over and go home to be with my friends and family for a month #ChristmasBreak,2:38 PM - 9 Dec 2012,0,2,3,https://www.twitter.com/GPrestia/status/277905141317906432
@_sarahimhoff,"Cincinnati, OH",,The feeling of having no homework will never get old #christmasbreak,11:16 AM - 20 Dec 2012,0,0,6,https://www.twitter.com/_sarahimhoff/status/281840478926807041
@Classy_girl900,,,Why am I awake at this hour? #christmasbreak,5:24 AM - 23 Dec 2013,0,2,4,https://www.twitter.com/Classy_girl900/status/415110582543450112
@DrewPoniBoi,"San Antonio, TX",,Just ONE more week.. #ChristmasBreak,8:13 PM - 13 Dec 2012,0,4,2,https://www.twitter.com/DrewPoniBoi/status/279438934449205249
@lolarsen8,,,this is definitely how I feel right now #christmasbreak #soclose  http://instagr.am/p/TMm6UTG6lb/ ,4:34 PM - 13 Dec 2012,0,1,3,https://www.twitter.com/lolarsen8/status/279383921232326656
@kjirosie,exopink,,#ChristmasBreak cbs got jokes,6:23 PM - 6 Jul 2017,0,36,160,https://www.twitter.com/kjirosie/status/883134443418005505
@obowen45,,,3 daysss #christmasbreak hurrry.,6:43 PM - 17 Dec 2013,0,2,5,https://www.twitter.com/obowen45/status/413137514338476034
@mjudkins24,,,Can't wait to kick it again w. @GiveNoChucks @jderbs22 @garrett_white3 @KCROTHTHEMAN @UsainHolt83 @acamp27 @Jared_mf_Schall #ChristmasBreak,9:25 PM - 26 Nov 2014,3,4,5,https://www.twitter.com/mjudkins24/status/537839495488757761
@ItsTrinityJae,,,"lol who thinks they passed their final? 
 #finals #example #christmasbreakpic.twitter.com/ot32z7gAkc",5:02 PM - 22 Dec 2016,0,5,9,https://www.twitter.com/ItsTrinityJae/status/812100954136907777
@teenage_hunter,Missouri,,Schools out and huntings in! #ChristmasBreak,10:57 AM - 20 Dec 2013,1,8,5,https://www.twitter.com/teenage_hunter/status/414107292267589632
@___tritzert,Pennsylvania,,Proud of my team and proud to be the 2013 Christmas volleyball tournament champs! #Juniors #ChristmasBreak,11:52 AM - 20 Dec 2013,0,2,5,https://www.twitter.com/___tritzert/status/414121172951777280
@emmakatelyn,,,Wishing my guitar skills weren't so lame and that I had @ehllbreezy's voice. SO over college right now. #christmasbreak #Passion2013,12:20 PM - 10 Dec 2012,1,1,2,https://www.twitter.com/emmakatelyn/status/278232619785793536
@morgan_rezac,Nebraska,,I truly think we got these two snow days as #Karma to the administration for giving us a short #ChristmasBreak #MorgansTheories,9:47 AM - 21 Dec 2012,0,0,6,https://www.twitter.com/morgan_rezac/status/282180553942376448
@colewild11,,,Can't wait to be in the 701 again  #christmasbreak,9:52 AM - 19 Dec 2014,0,0,9,https://www.twitter.com/colewild11/status/546000118101458944
@austinlove93,"Kansas City, MO",,When you share a great idea for a family  activity but everyone else keeps doing their own thing. #ChristmasBreak https://vine.co/v/OHDjYbBiO9q ,9:37 AM - 27 Dec 2014,0,2,5,https://www.twitter.com/austinlove93/status/548895417522331648
@AnnieRatner,Earth,,I started Fallout 4 tonight  #ChristmasBreak,12:11 AM - 20 Dec 2015,0,1,11,https://www.twitter.com/AnnieRatner/status/678487824341995520
@Ryan_Ondo11,,,1 final tomorrow and then #ChristmasBreak,5:28 PM - 18 Dec 2012,1,2,2,https://www.twitter.com/Ryan_Ondo11/status/281209401484926976
@SoreDLuke,"Illinois, USA",,It feels so good to go to bed knowing that you don't have an alarm set. #christmasbreak,11:36 PM - 14 Dec 2012,1,2,1,https://www.twitter.com/SoreDLuke/status/279852444916269056
@paigeyhenry,♯7,,Christmas starts early tomorrow.. Lots of presents under our tree in Sweden to be opened before we all go away  #ChristmasBreak,3:52 PM - 20 Dec 2013,0,2,3,https://www.twitter.com/paigeyhenry/status/414181600830570497
@k_jo_koehler,,,"This is when i start singing ""where are you Christmas"" #hateschool #christmasbreak",7:15 PM - 1 Dec 2013,0,3,8,https://www.twitter.com/k_jo_koehler/status/407347384335626240
@Hoogi29,,,That's 2 huge W!!! #sweep #Christmasbreak #hometoSweden #excitedtotheMax,9:50 PM - 14 Dec 2013,1,1,9,https://www.twitter.com/Hoogi29/status/412097294398263296
@SpottedLaurier,"Waterloo, ON",,"So close, but yet still SO very far #christmasbreak",7:16 AM - 6 Dec 2016,0,12,70,https://www.twitter.com/SpottedLaurier/status/806155372671029252
@Kealoha_3,,,kinda wish season was during the first semester #Christmasbreak #ijustwannachill lol,2:26 PM - 20 Dec 2012,0,1,2,https://www.twitter.com/Kealoha_3/status/281888440348450816
@LAMSPrincipal,,,JV/V girls bball with two big wins over a very good Silex team! Keep working hard ladies! #wcr3 #ChristmasBreak,7:19 PM - 22 Dec 2014,0,7,4,https://www.twitter.com/LAMSPrincipal/status/547230044507348992
@mrjasonbarrera,"McAllen, TX",,Just a little #holidayspirit for the beginning of #christmasbreak! Merry Christmas to all! #glitterbeardpic.twitter.com/3T5GsNvVTF,8:22 AM - 18 Dec 2015,0,2,9,https://www.twitter.com/mrjasonbarrera/status/677886652975439872
@ashleyhirschh,,,can I just like not accept the fact that we have to go back to school tomorrow? #5days #Christmasbreak,7:44 AM - 15 Dec 2013,0,2,2,https://www.twitter.com/ashleyhirschh/status/412246841804087296
@lexx__x3,,,I dont remember the last time I went to bed and DIDN'T set an alarm. #ChristmasBreak >>>>> ,8:35 PM - 21 Dec 2012,0,1,4,https://www.twitter.com/lexx__x3/status/282343586765369344
@WatersideLodge_,"Carnforth, England",,"Fancy a cosy night in or fizz and bubbles in our private hot tub?
Contact us for further info  #hottublodge #lakedistrict #southlakelandleisurevillage #christmasbreak #lodgeholidayspic.twitter.com/yEsJHqyZko",5:36 AM - 21 Nov 2019,0,1,1,https://www.twitter.com/WatersideLodge_/status/1197508993029222401
@DLittlejohn31,Indiana State University,,Walked in the living room and mom was rapping hotline bling to my dad.. #christmasbreak,4:43 PM - 18 Dec 2015,1,1,11,https://www.twitter.com/DLittlejohn31/status/678012706885009409
@MaggieSully96,,,After 8th hour tomorrow..... #ChristmasBreakpic.twitter.com/hhkiD7xv0X,6:50 PM - 19 Dec 2013,0,4,16,https://www.twitter.com/MaggieSully96/status/413863861834772480
@ConnorBravard,"Tucson, AZ",,Feels great to be done with finals #ChristmasBreak,8:21 AM - 12 Dec 2013,2,1,6,https://www.twitter.com/ConnorBravard/status/411168959807766528
@jakebraniecki,University of Rochester,,Nine more periods......  #christmasbreak ,4:27 PM - 19 Dec 2013,0,7,4,https://www.twitter.com/jakebraniecki/status/413827945682063360
@kylemvincent,"Columbia, SC","Irmo, SC",In bed by 11  #christmasbreak,8:02 PM - 10 Dec 2013,1,1,4,https://www.twitter.com/kylemvincent/status/410620684776521728
@MiekoSmith19,"Hazard, KY","Hazard, KY",I keep checking my school email only to realize that there's nothing there. #Christmasbreak #done #timeflies,9:36 AM - 13 Dec 2012,1,2,1,https://www.twitter.com/MiekoSmith19/status/279278509694799872
@PCTigersHoops,The Jungle  🐾,,3 days until the Tigers are back in action… #ChristmasBreakpic.twitter.com/ikMazgPArY,6:41 AM - 27 Dec 2016,0,8,27,https://www.twitter.com/PCTigersHoops/status/813756587387088897
@linds_schulte,,,Friday cannot come soon enough! #ChristmasBreak,7:20 PM - 15 Dec 2014,0,2,8,https://www.twitter.com/linds_schulte/status/544693550168809472
@sac_____,,,See you guys next year hahaha #MiddleSchoolMemories #ChristmasBreak,1:48 PM - 20 Dec 2013,0,0,15,https://www.twitter.com/sac_____/status/414150352980541440
@EverythingGSU,"Statesboro, GA",,Sleeping in late to recover from finals #christmasbreak,7:15 AM - 17 Dec 2012,0,11,1,https://www.twitter.com/EverythingGSU/status/280692779808604160
@13britten,,,Lol @ kids that have school tomorrow #ChristmasBreak ,11:27 PM - 15 Dec 2013,0,1,4,https://www.twitter.com/13britten/status/412484218363449344
@morgharr,LBI,,Spent the day eating cookies and watching the NCIS marathon lol  #christmasbreak,3:32 PM - 23 Dec 2013,0,2,2,https://www.twitter.com/morgharr/status/415263648622186496
@welcomemattv,,,Back on the East Coast and almost home! #ChristmasBreak #TheMuppets,6:49 PM - 19 Dec 2015,1,2,9,https://www.twitter.com/welcomemattv/status/678406828229844992
@deannapotts,"Omaha, NE",,"3 more days, 3 more days, 3 more days. #christmasbreak #teacherproblems",3:55 PM - 17 Dec 2013,2,5,6,https://www.twitter.com/deannapotts/status/413095107340926976
@mccartyann,"Dublin, OH",,@francis_scruci Enjoying a super productive day and enjoying not traveling! #happytobeinBG #ChristmasBreak,10:10 AM - 23 Dec 2015,0,1,5,https://www.twitter.com/mccartyann/status/679725858106523649
@DeannaDeegan,Nebraska,"Bellevue, NE","My #CECougars family...you amaze me daily with the endless patience, understanding and kindness you show our students...this #christmasbreak shower yourself with #Kindness.. enjoy #familytime #metime  fill your buckets!! #bpsnehttps://twitter.com/kindnessgives/status/944311863269117952 …",3:22 PM - 22 Dec 2017,0,2,8,https://www.twitter.com/DeannaDeegan/status/944347352416116736
@blaironeal31,,,I don't think you understand how excited I am right now #christmasbreak #bouttime,9:24 AM - 21 Dec 2012,0,2,2,https://www.twitter.com/blaironeal31/status/282174745758298112
@AshLovain,"Tunnel Hill, GA",,I cannot wait to sleep late every day for two weeks. #ChristmasBreak #MoreThanReady,6:27 PM - 18 Dec 2012,0,9,1,https://www.twitter.com/AshLovain/status/281224262755418112
@RoYoungblut,Quad Cities,,NO SCHOOL SWAG #ChristmasBreak,3:29 AM - 21 Dec 2012,1,7,3,https://www.twitter.com/RoYoungblut/status/282085275667140608
@ExcWarwickshire,"Warwickshire, UK",,"Stop Press! Our gorgeous new 2-bedder, Grace Cottage in Binton, nr Stratford-upon-Avon, is nearing completion following a complete refurbishment, which means that some lucky guest has the chance to spend Christmas or New Year here! #christmasbreak #newyearbreak #stratforduponavonpic.twitter.com/Kp0IGXIMbT",4:30 AM - 21 Nov 2019,0,0,0,https://www.twitter.com/ExcWarwickshire/status/1197492525696729088
@ms_hannnaah,,,I am so not ready to go back to school. #ChristmasBreak #WhereYaAt,8:11 AM - 1 Dec 2013,0,16,12,https://www.twitter.com/ms_hannnaah/status/407180102120644608
@mrsbrookemartin,"Knoxville, TN",,First time I've fixed my hair or put on makeup since Tuesday. #ChristmasBreak,4:11 PM - 28 Dec 2012,0,1,2,https://www.twitter.com/mrsbrookemartin/status/284813865294893057
@kevinbrennan666,,,You teachers must be exhausted from working a whole month since Thanksgiving break. #ChristmasBreak,11:17 AM - 23 Dec 2017,15,11,61,https://www.twitter.com/kevinbrennan666/status/944648206058745856
@turnerbreanna,,,This week better go by fast. #christmasbreak ,6:59 PM - 9 Dec 2012,0,7,3,https://www.twitter.com/turnerbreanna/status/277970784780181504
@mollya1221,"Greenville, SC",,only 4 more days until freedom and sleeping in everyday #Christmasbreak,6:58 PM - 15 Dec 2014,0,1,5,https://www.twitter.com/mollya1221/status/544687949607370752
@Borgy___,Huge  🅿️13,,Want to be asleep by 10. Don't turn off the TV till 2 #Christmasbreak,10:22 PM - 26 Dec 2014,0,1,5,https://www.twitter.com/Borgy___/status/548725676988047361
@EdenMarketiers,Stratford-upon-Avon,,Still looking for a Christmas break? Stay at @ArdenhouseEHC for a 'Cosy Christmas'...http://bit.ly/2hiCNdc  #Christmasbreak #Christmaspic.twitter.com/MvaaJoCZr4,5:46 AM - 19 Dec 2016,0,5,6,https://www.twitter.com/EdenMarketiers/status/810843851304947712
@BlakeGunter30,"Dallas, Texas",,"One more exam then I'm out this hoe. 
#ChristmasBreak",8:24 AM - 21 Dec 2012,0,2,2,https://www.twitter.com/BlakeGunter30/status/282159656858685440
@nlangille,,,Last exam today!!!!:) #Christmasbreak,4:16 AM - 14 Dec 2012,0,0,9,https://www.twitter.com/nlangille/status/279560400587071488
@_alyssabailey,"San Antonio, TX",,"boy meets world, saved by the bell, fresh prince, and duck dynasty. #ChristmasBreak",8:09 AM - 28 Dec 2012,0,0,5,https://www.twitter.com/_alyssabailey/status/284692520280129536
@alexmasek_02,,"Texas, USA",I wake up every morning unsure of what day it is... #christmasbreak,12:09 PM - 29 Dec 2013,0,5,5,https://www.twitter.com/alexmasek_02/status/417386941664231424
@LesCanadiennes,"Montréal, Québec",,"We hope to see you at our last game before the #ChristmasBreak! Great activity for the whole family! 
 https://store.thecwhl.com/collections/les-canadiennes-montreal-tickets/products/december-17-2017-1-30pm-les-canadiennes-de-montreal-vs-markham-thunder …pic.twitter.com/qAB9b758hw",7:18 AM - 1 Dec 2017,0,3,11,https://www.twitter.com/LesCanadiennes/status/936615550054289415
@AlexDiCarlo3,Toronto / London,,Home sweet home. #christmasbreak,8:33 PM - 18 Dec 2014,1,1,16,https://www.twitter.com/AlexDiCarlo3/status/545799140681469952
@capital_mutual,Melbourne,,"Anyone else as excited as we are? 
#christmas #christmasbreak #christmas2019 #insurance #insurancebrokerspic.twitter.com/LN32DCDgDl",6:52 PM - 24 Nov 2019,0,0,0,https://www.twitter.com/capital_mutual/status/1198796555672682496
@breeeze9,"SK, Canada // Duluth, MN",,Flying home tonight :) #christmasbreak #celebration ,1:11 PM - 20 Dec 2012,1,2,6,https://www.twitter.com/breeeze9/status/281869362246340608
@__HakunaMATTata,,,knowing I get to sleep in on weekdays is prime #christmasbreak,9:54 PM - 21 Dec 2014,1,6,3,https://www.twitter.com/__HakunaMATTata/status/546906564565938176
@Plutarian_Vibes,"Tuskegee, AL",,"Last day of school FUCK YEAH, #ChristmasBreak",5:28 AM - 20 Dec 2013,2,26,1,https://www.twitter.com/Plutarian_Vibes/status/414024445695500288
@Smileforthe_Cam,"Baltimore, MD",,7 more school days #Countdown #ChristmasBreak,3:38 AM - 13 Dec 2012,0,1,1,https://www.twitter.com/Smileforthe_Cam/status/279188532554235904
@matthew_lang31,"Grand Rapids, MI",,Just started watching Breaking Bad. Here we go. #ChristmasBreak,12:51 AM - 24 Dec 2013,0,0,4,https://www.twitter.com/matthew_lang31/status/415404232871661569
@the_1st_nole,"Austin, TX",,Guys... I think we all need to take a deep breath. Everyone is stressed out and fighting. Be happy for #ChristmasBreak,10:04 AM - 19 Dec 2012,0,2,1,https://www.twitter.com/the_1st_nole/status/281460057055584256
@AceMediaService,Everywhere,,"Seeking #lifestylebloggers #travelbloggers for a two-night, pre-Christmas trip to #Chester for #sightseeing #shopping #christmasbreak in second-half of November #influencers #travel #bloggerswantedhttps://ace.media/influencer/requests/Yo1bZK …",4:02 AM - 9 Oct 2019,24,7,31,https://www.twitter.com/AceMediaService/status/1181887604674965505
@shannen_quehl,,,I just ran up the stairs and I'm pretty sure you could hear me breathe from the other room...practice should be fun today. #christmasbreak,11:15 AM - 26 Dec 2013,1,0,4,https://www.twitter.com/shannen_quehl/status/416286133065355264
@MattPGAPro,"Kilkenny, Ireland","Kilkenny, Ireland",Time to Practice ahead of our 10 Days of Christmas Open Days at Mount Juliet Estate varying formats from a Ladies Open to a 4 Ball Scramble! Everybody welcome pick your event online and enter! #Christmas #Golf #OpenDays #MountJulietGolf #ChristmasBreakpic.twitter.com/d0LvDDRRV1,9:59 AM - 26 Nov 2017,0,10,10,https://www.twitter.com/MattPGAPro/status/934843962099159041
@ahellman22,,,Was nice to see some good friends again and we had a hell of a good time. Till next time Washington! #canadatriproundtwo #christmasbreak,11:27 PM - 18 Oct 2014,1,0,6,https://www.twitter.com/ahellman22/status/523721976863813632
@DanceCompDad,,,Hey... With all that hard work you've put in so far... You deserve to REALLY relax today... #ChristmasBreak #day4pic.twitter.com/qClKrK0lVn,5:54 AM - 24 Dec 2015,0,2,6,https://www.twitter.com/DanceCompDad/status/680023868275343360
@_plishy_,NJ/NY,,I've been spending my night morphing different people together to create babies online #christmasbreak #turnup,5:39 PM - 26 Dec 2013,1,0,11,https://www.twitter.com/_plishy_/status/416382843715997696
@AmySward,Central PA,,"Work today, Monday, and Tuesday... then 12 days off... I am so ready!  #christmasbreak",9:01 AM - 19 Dec 2014,0,2,4,https://www.twitter.com/AmySward/status/545987243673149440
@KMyllari,,,Back in Ottawa now #christmasbreak,12:04 PM - 20 Dec 2014,1,0,34,https://www.twitter.com/KMyllari/status/546395734996955137
@__Grace7,,,When your teacher really doesn't give a crap what you do. #ThankYou #ChristmasBreak,5:29 AM - 19 Dec 2012,0,4,3,https://www.twitter.com/__Grace7/status/281390859587571713
@mgamache13,beer.,,Lets hope I don't puke on this girl next to me #hung #turbulence #christmasbreak,8:25 AM - 11 Dec 2012,0,2,3,https://www.twitter.com/mgamache13/status/278535963477688320
@Pmurphy_5,"Siler City, NC",,Half day of school tomorrow then we're out!! #charterschoolswag #ChristmasBreak @HannaDanielle12 @h_powell25 @logan_shoun @taraaM_xo,6:19 PM - 19 Dec 2012,1,2,2,https://www.twitter.com/Pmurphy_5/status/281584543339802624
@MrsTeacher_,Texas,,"Coffee and a book. Hello, #ChristmasBreak",9:57 AM - 21 Dec 2013,0,5,9,https://www.twitter.com/MrsTeacher_/status/414454663338283008
@BigVance6,,,I can't wait to be in Vicksburg for a month #Christmasbreak #imissit,8:07 AM - 10 Nov 2013,0,8,9,https://www.twitter.com/BigVance6/status/399568905720455169
@_rachelcoates,,,I put on makeup and jeans today and I might actually leave my house....already a step above yesterday. #christmasbreak,8:43 AM - 30 Dec 2015,0,0,10,https://www.twitter.com/_rachelcoates/status/682240691855069185
@MLeBourdon,"London, England",,Chapter done  Annual progression passed  ... it’s Christmas!!!  #PhDLife #ChristmasBreak,4:31 AM - 19 Dec 2017,2,3,13,https://www.twitter.com/MLeBourdon/status/943096483146092544
@ellielawson2,,,IM DONE  #christmasbreak,11:16 AM - 20 Dec 2013,0,3,7,https://www.twitter.com/ellielawson2/status/414112095500640257
@sblucky2,,,How wonderful it is to have absolutely nothing you should be doing #carefree #CHRISTMASBREAK,4:39 PM - 12 Dec 2013,0,4,6,https://www.twitter.com/sblucky2/status/411294374929371136
@PartyArdi,"California, USA",,Lakers winning would just make Christmas perfect! #pleasesanta ? Lol #christmasbreak,12:05 PM - 25 Dec 2012,0,2,3,https://www.twitter.com/PartyArdi/status/283664763853078528
@andrewpeirson,"Kingston, Ontario",,What's up Kingston :) here for the next month #giver #Christmasbreakpic.twitter.com/krJbUS8X,11:02 AM - 11 Dec 2012,1,0,6,https://www.twitter.com/andrewpeirson/status/278575397472452608
@b_morin17,,,Last day of school! #thankgod #booya #christmasbreak,6:37 AM - 20 Dec 2012,0,3,3,https://www.twitter.com/b_morin17/status/281770196035842049
@JakeLandgrebe,"Los Angeles, CA",,"#SNOWDAY #ChristmasBreak #WhiteChristmas ....... Yup, just hash tags! @BizzyHams",5:41 AM - 20 Dec 2012,0,2,5,https://www.twitter.com/JakeLandgrebe/status/281756204735279104
@Beliebergiirl99,Hungary-Austria,,First day of Christmas Break feels like...  @justinbieber #winterbreak #ChristmasBreak #Christmas pic.twitter.com/mYABHJv4VH,11:10 PM - 21 Dec 2016,0,6,15,https://www.twitter.com/Beliebergiirl99/status/811831224541057024
@taycheer33,,,26 days left of school!!! Thank the Lord!!!!  #countingdown #christmasbreak,8:53 AM - 4 Nov 2013,1,5,5,https://www.twitter.com/taycheer33/status/397406212763156481
